nombre,artista,reproducciones,url,imagen_url
Sienna,The Marías,20643930,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna,https://lastfm.freetls.fastly.net/i/u/300x300/ff18c3c08f0e1c85d62eeee24d1154e9.png
Girl Like Me,PinkPantheress,8451581,https://www.last.fm/music/PinkPantheress/_/Girl+Like+Me,https://lastfm.freetls.fastly.net/i/u/300x300/5edfc17276a2c1f445f41faf2c9da1be.png
One More Night,BTS,39108013,https://www.last.fm/music/BTS/_/One+More+Night,https://lastfm.freetls.fastly.net/i/u/300x300/89799c9f5b5d06b42af8eb129d68896e.png
LES,Childish Gambino,27324597,https://www.last.fm/music/Childish+Gambino/_/LES,https://lastfm.freetls.fastly.net/i/u/300x300/d2c51831aa2b59b93c7e56b29efbbcf6.png
WHERE IS MY HUSBAND!,RAYE,11433851,https://www.last.fm/music/RAYE/_/WHERE+IS+MY+HUSBAND%21,https://lastfm.freetls.fastly.net/i/u/300x300/d699b39671911b7dfc69d4c0acdcc4f1.png
Feel Good Inc.,Gorillaz,40120372,https://www.last.fm/music/Gorillaz/_/Feel+Good+Inc.,https://lastfm.freetls.fastly.net/i/u/300x300/271483e955d2b255160f3361a7f5fb78.png
"Lover, You Should've Come Over",Jeff Buckley,31982408,"https://www.last.fm/music/Jeff+Buckley/_/Lover,+You+Should%27ve+Come+Over",https://lastfm.freetls.fastly.net/i/u/300x300/b9c826bf4d8da57694c54d7403d5cb18.png
BIRDS OF A FEATHER,Billie Eilish,55575321,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER,https://lastfm.freetls.fastly.net/i/u/300x300/6db576307ee7bdd81056432542b6bab7.png
Roommates,Malcolm Todd,10148893,https://www.last.fm/music/Malcolm+Todd/_/Roommates,https://lastfm.freetls.fastly.net/i/u/300x300/abc91cbea47e6d9f5f41ae455e0a98c9.png
Let Down,Radiohead,40822964,https://www.last.fm/music/Radiohead/_/Let+Down,https://lastfm.freetls.fastly.net/i/u/300x300/62d26c6cb4ac4bdccb8f3a2a0fd55421.png
Pink + White,Frank Ocean,59501091,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White,
The Adults Are Talking,The Strokes,28936708,https://www.last.fm/music/The+Strokes/_/The+Adults+Are+Talking,https://lastfm.freetls.fastly.net/i/u/300x300/576554c542da76c08f0e80c129afcb0e.png
Into the Sun,BTS,38920059,https://www.last.fm/music/BTS/_/Into+the+Sun,https://lastfm.freetls.fastly.net/i/u/300x300/89799c9f5b5d06b42af8eb129d68896e.png
The Fate of Ophelia,Taylor Swift,25274096,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia,https://lastfm.freetls.fastly.net/i/u/300x300/bfacf35ea26ab0672fb2bfe2870ae85c.png
Duvet,bôa,41152042,https://www.last.fm/music/b%C3%B4a/_/Duvet,https://lastfm.freetls.fastly.net/i/u/300x300/40564dd1a58f969fc3ee3c49bddffd23.png
Tears,Sabrina Carpenter,16354532,https://www.last.fm/music/Sabrina+Carpenter/_/Tears,https://lastfm.freetls.fastly.net/i/u/300x300/84781e6b0bd2bb2f63b4ecf944d7fb32.png
DtMF,Bad Bunny,17095328,https://www.last.fm/music/Bad+Bunny/_/DtMF,https://lastfm.freetls.fastly.net/i/u/300x300/7d0982b56a5e4304eb6207d6688c917a.png
Borderline,Tame Impala,29824218,https://www.last.fm/music/Tame+Impala/_/Borderline,https://lastfm.freetls.fastly.net/i/u/300x300/7d68ca16f4fe367ca8f357c2b2138e9a.png
So Easy (To Fall In Love),Olivia Dean,9191760,https://www.last.fm/music/Olivia+Dean/_/So+Easy+(To+Fall+In+Love),https://lastfm.freetls.fastly.net/i/u/300x300/e9aedce534c4c0cf22f18483bed6620e.png
Espresso,Sabrina Carpenter,55637149,https://www.last.fm/music/Sabrina+Carpenter/_/Espresso,https://lastfm.freetls.fastly.net/i/u/300x300/31af483995fa0388205995fc95f76318.png
In My Room,Julia Wolf,10246711,https://www.last.fm/music/Julia+Wolf/_/In+My+Room,https://lastfm.freetls.fastly.net/i/u/300x300/066810fc65d7ec46d09f510775eac498.png
American Girls,Harry Styles,4019877,https://www.last.fm/music/Harry+Styles/_/American+Girls,https://lastfm.freetls.fastly.net/i/u/300x300/11a212a9de9fe958cc5829849ebacbf8.png
Lush Life,Zara Larsson,14468889,https://www.last.fm/music/Zara+Larsson/_/Lush+Life,https://lastfm.freetls.fastly.net/i/u/300x300/164dc5b7d0ff1e042751667ac0143709.png
Love Me Not,Ravyn Lenae,18309656,https://www.last.fm/music/Ravyn+Lenae/_/Love+Me+Not,https://lastfm.freetls.fastly.net/i/u/300x300/c2eb1c5fc430d90b8c5fa1527cd5d81d.png
Linger,The Cranberries,33189468,https://www.last.fm/music/The+Cranberries/_/Linger,https://lastfm.freetls.fastly.net/i/u/300x300/87138bbda83bd0ae8b4da2b6cab9b66a.png
DAISIES,Justin Bieber,7095004,https://www.last.fm/music/Justin+Bieber/_/DAISIES,https://lastfm.freetls.fastly.net/i/u/300x300/4255e1d33c6a0b62f08ea96890caa407.png
Into You,Ariana Grande,27183530,https://www.last.fm/music/Ariana+Grande/_/Into+You,https://lastfm.freetls.fastly.net/i/u/300x300/51b8cd76546763550af19d0937cae80a.png
Man I Need,Olivia Dean,9964881,https://www.last.fm/music/Olivia+Dean/_/Man+I+Need,https://lastfm.freetls.fastly.net/i/u/300x300/e9aedce534c4c0cf22f18483bed6620e.png
Everlong,Foo Fighters,46520205,https://www.last.fm/music/Foo+Fighters/_/Everlong,https://lastfm.freetls.fastly.net/i/u/300x300/dedd41ef4d48d496755da5ba046438bd.png
Illegal,PinkPantheress,12905405,https://www.last.fm/music/PinkPantheress/_/Illegal,https://lastfm.freetls.fastly.net/i/u/300x300/5edfc17276a2c1f445f41faf2c9da1be.png
SLOW DANCING IN THE DARK,Joji,37979424,https://www.last.fm/music/Joji/_/SLOW+DANCING+IN+THE+DARK,https://lastfm.freetls.fastly.net/i/u/300x300/839115fb3f8bd87fd13604f7b5155cfb.png
Passionfruit,Drake,28645351,https://www.last.fm/music/Drake/_/Passionfruit,https://lastfm.freetls.fastly.net/i/u/300x300/434a922ecca5474f1f9d6bbcc3a1050c.png
P.Y.T. (Pretty Young Thing),Michael Jackson,9646312,https://www.last.fm/music/Michael+Jackson/_/P.Y.T.+(Pretty+Young+Thing),https://lastfm.freetls.fastly.net/i/u/300x300/6e2894e4edba9f42ee448670a59fc12e.png
Thriller,Michael Jackson,13923294,https://www.last.fm/music/Michael+Jackson/_/Thriller,https://lastfm.freetls.fastly.net/i/u/300x300/6e2894e4edba9f42ee448670a59fc12e.png
REDRED,CORTIS,2847127,https://www.last.fm/music/CORTIS/_/REDRED,https://lastfm.freetls.fastly.net/i/u/300x300/128c80ba85469e5905720f2a866a5b84.png
Nobody’s Son,Sabrina Carpenter,12382340,https://www.last.fm/music/Sabrina+Carpenter/_/Nobody%E2%80%99s+Son,https://lastfm.freetls.fastly.net/i/u/300x300/8024d2526f829ab28afc758e8dc4492b.png
Bring Me to Life,Evanescence,30970542,https://www.last.fm/music/Evanescence/_/Bring+Me+to+Life,https://lastfm.freetls.fastly.net/i/u/300x300/709c71461153419d86742071e16426c8.png
Still Into You,Paramore,27780243,https://www.last.fm/music/Paramore/_/Still+Into+You,https://lastfm.freetls.fastly.net/i/u/300x300/919a1916404a2777163ed83f0057f9cb.png
Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,25675679,https://www.last.fm/music/The+Smiths/_/Heaven+Knows+I%27m+Miserable+Now+-+2011+Remaster,https://lastfm.freetls.fastly.net/i/u/300x300/88295d7f49c2d92465c9432e560cb5aa.png
From the Start,Laufey,28138817,https://www.last.fm/music/Laufey/_/From+the+Start,https://lastfm.freetls.fastly.net/i/u/300x300/3875932ff9d87debe979c34e7e1dd6e4.png
Remember the Time,Michael Jackson,9769198,https://www.last.fm/music/Michael+Jackson/_/Remember+the+Time,https://lastfm.freetls.fastly.net/i/u/300x300/36577e77dabeb2aed157e98c8924d436.png
No. 29,BTS,39797479,https://www.last.fm/music/BTS/_/No.+29,https://lastfm.freetls.fastly.net/i/u/300x300/89799c9f5b5d06b42af8eb129d68896e.png
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,30852965,https://www.last.fm/music/The+Smiths/_/There+Is+a+Light+That+Never+Goes+Out+-+2011+Remaster,https://lastfm.freetls.fastly.net/i/u/300x300/ae9c3e4f65c0ac7efd2047d79b0e64f9.png
All I Need,Radiohead,41634976,https://www.last.fm/music/Radiohead/_/All+I+Need,https://lastfm.freetls.fastly.net/i/u/300x300/9dbcd9399ac3e622b4f508323155b644.png
Sign of the Times,Harry Styles,18889349,https://www.last.fm/music/Harry+Styles/_/Sign+of+the+Times,https://lastfm.freetls.fastly.net/i/u/300x300/295ed1c0727ce10652867d628139beb1.png
One Dance,Drake,23191393,https://www.last.fm/music/Drake/_/One+Dance,https://lastfm.freetls.fastly.net/i/u/300x300/6d78d245a7182eaaff76bb454ac878d1.png
No Pole,Don Toliver,18143816,https://www.last.fm/music/Don+Toliver/_/No+Pole,https://lastfm.freetls.fastly.net/i/u/300x300/043211479ce1378b14ba16d86be0d2bd.png
Fade Into You,Mazzy Star,33859442,https://www.last.fm/music/Mazzy+Star/_/Fade+Into+You,https://lastfm.freetls.fastly.net/i/u/300x300/60615ead3d8383e70e84a526817de4bf.png
CRANK,Slayyyter,4669842,https://www.last.fm/music/Slayyyter/_/CRANK,https://lastfm.freetls.fastly.net/i/u/300x300/a4d5a766c280d2af42cdf854bbea6c6e.png
Timeless (feat Playboi Carti),The Weeknd,14480456,https://www.last.fm/music/The+Weeknd/_/Timeless+(feat+Playboi+Carti),https://lastfm.freetls.fastly.net/i/u/300x300/249055588b98202ab29ec9f2d9b6d131.png
All I Wanted,Paramore,24384883,https://www.last.fm/music/Paramore/_/All+I+Wanted,https://lastfm.freetls.fastly.net/i/u/300x300/8935ea2d777c8f2f5f3c7a8f521ea9fb.png
Be Like a Woman,Chris Rainbow,2708922,https://www.last.fm/music/Chris+Rainbow/_/Be+Like+a+Woman,https://lastfm.freetls.fastly.net/i/u/300x300/0e845a6f91fc460e8a70eedd18ab8144.png
Go Away,Weezer,4351197,https://www.last.fm/music/Weezer/_/Go+Away,https://lastfm.freetls.fastly.net/i/u/300x300/f9a1b19e001fe2adb697f55df60aacdd.png
No Surprises,Radiohead,55242925,https://www.last.fm/music/Radiohead/_/No+Surprises,https://lastfm.freetls.fastly.net/i/u/300x300/62d26c6cb4ac4bdccb8f3a2a0fd55421.png
Nights,Frank Ocean,42731138,https://www.last.fm/music/Frank+Ocean/_/Nights,https://lastfm.freetls.fastly.net/i/u/300x300/82c92f044b27db86328ed6be3f8a735a.png
Bad - 2012 Remaster,Michael Jackson,4031955,https://www.last.fm/music/Michael+Jackson/_/Bad+-+2012+Remaster,https://lastfm.freetls.fastly.net/i/u/300x300/3a1224fa5a5735a9a0f92391c4bda67c.png
Promiscuous,Nelly Furtado,22887368,https://www.last.fm/music/Nelly+Furtado/_/Promiscuous,https://lastfm.freetls.fastly.net/i/u/300x300/f3aa2afa43dc94eb79562be7a23ce876.png
Sailor Song,Gigi Perez,28041244,https://www.last.fm/music/Gigi+Perez/_/Sailor+Song,https://lastfm.freetls.fastly.net/i/u/300x300/157a9990d5fc8a5b8252635d7994fa9e.png
E85,Don Toliver,4469211,https://www.last.fm/music/Don+Toliver/_/E85,https://lastfm.freetls.fastly.net/i/u/300x300/01a59fefacbce707f2237cff7764c13a.png
Homewrecker,sombr,3669087,https://www.last.fm/music/sombr/_/Homewrecker,https://lastfm.freetls.fastly.net/i/u/300x300/63b0ed1ee4120bba20dcc67fb622e3a6.png
Juno,Sabrina Carpenter,26366469,https://www.last.fm/music/Sabrina+Carpenter/_/Juno,https://lastfm.freetls.fastly.net/i/u/300x300/f12406c41b319b91faeb0efcd4709fa9.png
Let It Happen,Tame Impala,26527635,https://www.last.fm/music/Tame+Impala/_/Let+It+Happen,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.png
Don't Stop the Music,Rihanna,20109767,https://www.last.fm/music/Rihanna/_/Don%27t+Stop+the+Music,https://lastfm.freetls.fastly.net/i/u/300x300/aa254b77897ce330348b1be77edfe6bf.png
party 4 u,Charli xcx,20769596,https://www.last.fm/music/Charli+xcx/_/party+4+u,https://lastfm.freetls.fastly.net/i/u/300x300/9d584d6fc6300f7fbd98de3efacfd1ba.png
Taste,Sabrina Carpenter,31923323,https://www.last.fm/music/Sabrina+Carpenter/_/Taste,https://lastfm.freetls.fastly.net/i/u/300x300/f12406c41b319b91faeb0efcd4709fa9.png
Pain,PinkPantheress,36392330,https://www.last.fm/music/PinkPantheress/_/Pain,https://lastfm.freetls.fastly.net/i/u/300x300/8895879b7897bc65b6f016ab6a298ec7.png
"New Person, Same Old Mistakes",Tame Impala,24479313,"https://www.last.fm/music/Tame+Impala/_/New+Person,+Same+Old+Mistakes",https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.png
Bad Habit,Steve Lacy,34442863,https://www.last.fm/music/Steve+Lacy/_/Bad+Habit,https://lastfm.freetls.fastly.net/i/u/300x300/12dcf1122cccf14bd8d943480d04cd58.png
Every Breath You Take,The Police,27182112,https://www.last.fm/music/The+Police/_/Every+Breath+You+Take,https://lastfm.freetls.fastly.net/i/u/300x300/2e69c75effb8e0521b637a7c869ba623.png
Doors,Noah Kahan,959705,https://www.last.fm/music/Noah+Kahan/_/Doors,https://lastfm.freetls.fastly.net/i/u/300x300/428eff122e6076b6d30bcb7b51adc722.png
Apocalypse,Cigarettes After Sex,42748975,https://www.last.fm/music/Cigarettes+After+Sex/_/Apocalypse,https://lastfm.freetls.fastly.net/i/u/300x300/5d53d7e6aad2f08c464e301d3bab6e96.png
Heartbeat,Childish Gambino,21925616,https://www.last.fm/music/Childish+Gambino/_/Heartbeat,https://lastfm.freetls.fastly.net/i/u/300x300/d2c51831aa2b59b93c7e56b29efbbcf6.png
"All the Stars (with SZA) - From ""Black Panther: The Album""",Kendrick Lamar,6896054,https://www.last.fm/music/Kendrick+Lamar/_/All+the+Stars+(with+SZA)+-+From+%22Black+Panther:+The+Album%22,https://lastfm.freetls.fastly.net/i/u/300x300/03db184a7071db687cc65c3ded0c1ee7.png
Kiss It Better,Rihanna,16342823,https://www.last.fm/music/Rihanna/_/Kiss+It+Better,https://lastfm.freetls.fastly.net/i/u/300x300/0e21b3cd15b8e3bdeb7e8946effd5d8c.png
WILDFLOWER,Billie Eilish,36153716,https://www.last.fm/music/Billie+Eilish/_/WILDFLOWER,https://lastfm.freetls.fastly.net/i/u/300x300/6db576307ee7bdd81056432542b6bab7.png
We Are the People,Empire of the Sun,21055573,https://www.last.fm/music/Empire+of+the+Sun/_/We+Are+the+People,https://lastfm.freetls.fastly.net/i/u/300x300/461fe4e8e5ee4eed9cf34766f3541dc8.png
Von dutch,Charli xcx,32054844,https://www.last.fm/music/Charli+xcx/_/Von+dutch,https://lastfm.freetls.fastly.net/i/u/300x300/7fa6bf89a5f4fc2d1f31ad0d6128635e.png
Just Dance,Lady Gaga,28659517,https://www.last.fm/music/Lady+Gaga/_/Just+Dance,https://lastfm.freetls.fastly.net/i/u/300x300/212041a78d1b07d481404936f57314fb.png
NUEVAYoL,Bad Bunny,13194875,https://www.last.fm/music/Bad+Bunny/_/NUEVAYoL,https://lastfm.freetls.fastly.net/i/u/300x300/7a153e85efac1407a2811268011050e7.png
the perfect pair,beabadoobee,30412944,https://www.last.fm/music/beabadoobee/_/the+perfect+pair,https://lastfm.freetls.fastly.net/i/u/300x300/d47d0db3893fa94639514a2aa47372b8.png
The Subway,Chappell Roan,17605366,https://www.last.fm/music/Chappell+Roan/_/The+Subway,https://lastfm.freetls.fastly.net/i/u/300x300/cfb8b75714d6a74ecd9a0acd6fb242ab.png
S&M,Rihanna,23130943,https://www.last.fm/music/Rihanna/_/S&M,https://lastfm.freetls.fastly.net/i/u/300x300/a7cd5b2046514a52ba359e06743693f9.png
Bags,Clairo,35083501,https://www.last.fm/music/Clairo/_/Bags,https://lastfm.freetls.fastly.net/i/u/300x300/73e6abff1b50d7d05a6d02857240263c.png
ARE WE STILL FRIENDS?,"Tyler, The Creator",32366313,"https://www.last.fm/music/Tyler,+The+Creator/_/ARE+WE+STILL+FRIENDS%3F",https://lastfm.freetls.fastly.net/i/u/300x300/e150fa362c89b8f1d92d883ae828b7ef.png
In the End,Linkin Park,39787459,https://www.last.fm/music/Linkin+Park/_/In+the+End,https://lastfm.freetls.fastly.net/i/u/300x300/53a7bd85bc99272900f620792bf43452.png
Headlock,Imogen Heap,26548535,https://www.last.fm/music/Imogen+Heap/_/Headlock,https://lastfm.freetls.fastly.net/i/u/300x300/be7fa8a690d74035320a79944445e17c.png
we can't be friends (wait for your love),Ariana Grande,35647831,https://www.last.fm/music/Ariana+Grande/_/we+can%27t+be+friends+(wait+for+your+love),https://lastfm.freetls.fastly.net/i/u/300x300/1b3c1507a905b6c40475d0d565f6bebc.png
Self Aware,Temper City,1447365,https://www.last.fm/music/Temper+City/_/Self+Aware,https://lastfm.freetls.fastly.net/i/u/300x300/280ad0ffaa760f6f7304bb9e1bf3e82e.png
IT'S ME,ILLIT,861853,https://www.last.fm/music/ILLIT/_/IT%27S+ME,https://lastfm.freetls.fastly.net/i/u/300x300/298c471068c502cacd6fc695763903fa.png
When Did You Get Hot?,Sabrina Carpenter,12908887,https://www.last.fm/music/Sabrina+Carpenter/_/When+Did+You+Get+Hot%3F,https://lastfm.freetls.fastly.net/i/u/300x300/84781e6b0bd2bb2f63b4ecf944d7fb32.png
The Spins,Mac Miller,22303823,https://www.last.fm/music/Mac+Miller/_/The+Spins,https://lastfm.freetls.fastly.net/i/u/300x300/4cc406a032e2418daa5a768e3391820c.png
Please Please Please,Sabrina Carpenter,36752793,https://www.last.fm/music/Sabrina+Carpenter/_/Please+Please+Please,https://lastfm.freetls.fastly.net/i/u/300x300/bad7187fa0cb0d19edd775f8be53afd6.png
Only Girl (In the World),Rihanna,25257200,https://www.last.fm/music/Rihanna/_/Only+Girl+(In+the+World),https://lastfm.freetls.fastly.net/i/u/300x300/a7cd5b2046514a52ba359e06743693f9.png
