"nombre","reproducciones","oyentes","url","imagen_url"
"Frank Ocean","783096584","4288908","https://www.last.fm/music/Frank+Ocean","https://cdn-images.dzcdn.net/images/artist/882155c08dc31d6464d6d580083c968c/1000x1000-000000-80-0-0.jpg"
"Paramore","590702220","5672922","https://www.last.fm/music/Paramore","https://cdn-images.dzcdn.net/images/artist/60dc1956a36a5e552384b4a32b0cbf9b/1000x1000-000000-80-0-0.jpg"
"Olivia Rodrigo","574443836","3143654","https://www.last.fm/music/Olivia+Rodrigo","https://cdn-images.dzcdn.net/images/artist/2c9e480317183c037eaebcd7ba96daf4/1000x1000-000000-80-0-0.jpg"
"Katy Perry","444060354","7188730","https://www.last.fm/music/Katy+Perry","https://cdn-images.dzcdn.net/images/artist/9c144bd1ed91b2a59c826cf1d1cde633/1000x1000-000000-80-0-0.jpg"
"Bruno Mars","307911660","5284623","https://www.last.fm/music/Bruno+Mars","https://cdn-images.dzcdn.net/images/artist/90f0b5b11df4f87ee878f38569b5995b/1000x1000-000000-80-0-0.jpg"
"Doja Cat","473529780","3660405","https://www.last.fm/music/Doja+Cat","https://cdn-images.dzcdn.net/images/artist/9e3a3b8792a04c4578da7b905ffeaf2b/1000x1000-000000-80-0-0.jpg"
"Harry Styles","449168058","3345003","https://www.last.fm/music/Harry+Styles","https://cdn-images.dzcdn.net/images/artist/1151dba9b3edc0633adf35b64c21713f/1000x1000-000000-80-0-0.jpg"
"Fleetwood Mac","303053113","4914115","https://www.last.fm/music/Fleetwood+Mac","https://cdn-images.dzcdn.net/images/artist/ef23278cf3a67a3ca8404ddaa38699d4/1000x1000-000000-80-0-0.jpg"
"Gorillaz","522854381","6892178","https://www.last.fm/music/Gorillaz","https://cdn-images.dzcdn.net/images/artist/ebbb1c133ed0220c714b9ed5d254561f/1000x1000-000000-80-0-0.jpg"
"The Neighbourhood","406605427","3997972","https://www.last.fm/music/The+Neighbourhood","https://cdn-images.dzcdn.net/images/artist/8fdcc9f74aa9f930c28f5b9ea0da0fd4/1000x1000-000000-80-0-0.jpg"
"Childish Gambino","331603133","3846667","https://www.last.fm/music/Childish+Gambino","https://cdn-images.dzcdn.net/images/artist/35ed4d691c7601ffaef55e743bc6fcde/1000x1000-000000-80-0-0.jpg"
"The Smiths","543976712","5103447","https://www.last.fm/music/The+Smiths","https://cdn-images.dzcdn.net/images/artist/458e4ee61a7fc57a79ac2b9b20c47bd9/1000x1000-000000-80-0-0.jpg"
"Travis Scott","687987651","3358414","https://www.last.fm/music/Travis+Scott","https://cdn-images.dzcdn.net/images/artist/8d8316146026d7e6ce377e314536df62/1000x1000-000000-80-0-0.jpg"
"A$AP Rocky","375632690","3480470","https://www.last.fm/music/A$AP+Rocky","https://cdn-images.dzcdn.net/images/artist/5eebb137c5f4d0eb8fb5f9227e1b6288/1000x1000-000000-80-0-0.jpg"
"Linkin Park","751412244","6964963","https://www.last.fm/music/Linkin+Park","https://cdn-images.dzcdn.net/images/artist/4886905210739af3438990897bad3a98/1000x1000-000000-80-0-0.jpg"
"SZA","592101654","3520277","https://www.last.fm/music/SZA","https://cdn-images.dzcdn.net/images/artist/8ced041da2bed70d5715f0860956169b/1000x1000-000000-80-0-0.jpg"
"Deftones","582681166","4263772","https://www.last.fm/music/Deftones","https://cdn-images.dzcdn.net/images/artist/a4fab59f82dc48f2c636ce8497282e67/1000x1000-000000-80-0-0.jpg"
"Don Toliver","283233196","2567034","https://www.last.fm/music/Don+Toliver","https://cdn-images.dzcdn.net/images/artist/881a10c54b47201c8c850ecddaf4bb1c/1000x1000-000000-80-0-0.jpg"
"Chappell Roan","339918377","2588807","https://www.last.fm/music/Chappell+Roan","https://cdn-images.dzcdn.net/images/artist/14ca3aea25950189f30efe0fa79ac4f9/1000x1000-000000-80-0-0.jpg"
"Coldplay","783950342","9139176","https://www.last.fm/music/Coldplay","https://cdn-images.dzcdn.net/images/artist/3087954bca22f306324912e5ac8375c3/1000x1000-000000-80-0-0.jpg"
"Bad Bunny","413016010","2607892","https://www.last.fm/music/Bad+Bunny","https://cdn-images.dzcdn.net/images/artist/45aaf836629158d714432ae37e552ee7/1000x1000-000000-80-0-0.jpg"
"Mitski","671731975","3295326","https://www.last.fm/music/Mitski","https://cdn-images.dzcdn.net/images/artist/203c6f213b64c200839de89db2754134/1000x1000-000000-80-0-0.jpg"
"Malcolm Todd","102929122","1378189","https://www.last.fm/music/Malcolm+Todd","https://cdn-images.dzcdn.net/images/artist/5ecb8fe8b0335deeff7434fd3160199c/1000x1000-000000-80-0-0.jpg"
"The Marías","246576176","2527428","https://www.last.fm/music/The+Mar%C3%ADas","https://cdn-images.dzcdn.net/images/artist/9a81e875aa2689278b4ad8c385aacd12/1000x1000-000000-80-0-0.jpg"
"Beyoncé","704415072","6411624","https://www.last.fm/music/Beyonc%C3%A9","https://cdn-images.dzcdn.net/images/artist/0aa9d669be4e7310b8647afae37ffaab/1000x1000-000000-80-0-0.jpg"
"Clairo","355952652","2949585","https://www.last.fm/music/Clairo","https://cdn-images.dzcdn.net/images/artist/933a9fcd1f1b4eae73e3f75bdf5fd3a0/1000x1000-000000-80-0-0.jpg"
"Playboi Carti","791652396","2499653","https://www.last.fm/music/Playboi+Carti","https://cdn-images.dzcdn.net/images/artist/b90097972a60d9d8598a79a786be1a3a/1000x1000-000000-80-0-0.jpg"
"The Strokes","489818529","5747534","https://www.last.fm/music/The+Strokes","https://cdn-images.dzcdn.net/images/artist/88e8ecd06aae5cd69d414af57a67f339/1000x1000-000000-80-0-0.jpg"
"BTS","3975238678","2474517","https://www.last.fm/music/BTS","https://cdn-images.dzcdn.net/images/artist/b5c64fa8216ca158e52b4d88bd9388ff/1000x1000-000000-80-0-0.jpg"
"TV Girl","299010825","2882840","https://www.last.fm/music/TV+Girl","https://cdn-images.dzcdn.net/images/artist/9cec5aa40642063a408ba52be1310b20/1000x1000-000000-80-0-0.jpg"
"Mac Miller","437937768","3559695","https://www.last.fm/music/Mac+Miller","https://cdn-images.dzcdn.net/images/artist/d868d87e47d0597e6ba36d49eadec848/1000x1000-000000-80-0-0.jpg"
"Future","466843053","3243846","https://www.last.fm/music/Future","https://cdn-images.dzcdn.net/images/artist/c8c8fea7e2b8613b3ba7328d22d3016c/1000x1000-000000-80-0-0.jpg"
"Madonna","369246076","5680691","https://www.last.fm/music/Madonna","https://cdn-images.dzcdn.net/images/artist/2498e1e0c6930809143a743b746958be/1000x1000-000000-80-0-0.jpg"
"Dominic Fike","157409832","2600017","https://www.last.fm/music/Dominic+Fike","https://cdn-images.dzcdn.net/images/artist/e0b1589f2025116e79a400b37790edd5/1000x1000-000000-80-0-0.jpg"
"beabadoobee","329743746","2661865","https://www.last.fm/music/beabadoobee","https://cdn-images.dzcdn.net/images/artist/9bb4484b224cedeb0d79d0517ab2a4a4/1000x1000-000000-80-0-0.jpg"
"Nirvana","585463960","7559133","https://www.last.fm/music/Nirvana","https://cdn-images.dzcdn.net/images/artist/3ec5542ff520ee74e2befdaba32ef2ef/1000x1000-000000-80-0-0.jpg"
"The Beatles","1108658555","6538675","https://www.last.fm/music/The+Beatles","https://cdn-images.dzcdn.net/images/artist/fe9eb4463ea87452e84ed97e0c86b878/1000x1000-000000-80-0-0.jpg"
"Britney Spears","499174796","6484265","https://www.last.fm/music/Britney+Spears","https://cdn-images.dzcdn.net/images/artist/caea45732bb52679494602c60430435a/1000x1000-000000-80-0-0.jpg"
"Zara Larsson","91606808","2374905","https://www.last.fm/music/Zara+Larsson","https://cdn-images.dzcdn.net/images/artist/26e260152661dea1897a6eea198f9981/1000x1000-000000-80-0-0.jpg"
"Maroon 5","290853145","6679387","https://www.last.fm/music/Maroon+5","https://cdn-images.dzcdn.net/images/artist/bbb526b9666c7e31dee295bcabbbdd8e/1000x1000-000000-80-0-0.jpg"
"Lorde","454181764","3745505","https://www.last.fm/music/Lorde","https://cdn-images.dzcdn.net/images/artist/c38f17b73ad22d280c5dfc8a8b3d1865/1000x1000-000000-80-0-0.jpg"
"Mac DeMarco","352684093","3288003","https://www.last.fm/music/Mac+DeMarco","https://cdn-images.dzcdn.net/images/artist/b468329467ac01256a85e0925026715d/1000x1000-000000-80-0-0.jpg"
"Calvin Harris","211499235","5052033","https://www.last.fm/music/Calvin+Harris","https://cdn-images.dzcdn.net/images/artist/a53031d02dc2f8a8eb15d117c015d5eb/1000x1000-000000-80-0-0.jpg"
"Lil Uzi Vert","438657984","2774009","https://www.last.fm/music/Lil+Uzi+Vert","https://cdn-images.dzcdn.net/images/artist/aee2db9a69abb62ae05b644d0ea68055/1000x1000-000000-80-0-0.jpg"
"Steve Lacy","292275179","3150193","https://www.last.fm/music/Steve+Lacy","https://cdn-images.dzcdn.net/images/artist/2243d94cb2e5ced691142983a2ebe222/1000x1000-000000-80-0-0.jpg"
"The Cure","398237777","5540330","https://www.last.fm/music/The+Cure","https://cdn-images.dzcdn.net/images/artist/8c9afdb1385ece7ddf2f2c923c70c0bc/1000x1000-000000-80-0-0.jpg"
"Twenty One Pilots","442907911","3403829","https://www.last.fm/music/Twenty+One+Pilots","https://cdn-images.dzcdn.net/images/artist/2e6d4d494a7b7b2c4bea2ccefad368f5/1000x1000-000000-80-0-0.jpg"
"sombr","89009399","1894367","https://www.last.fm/music/sombr","https://cdn-images.dzcdn.net/images/artist/82ef9a2db0c80f8588569d955c78d695/1000x1000-000000-80-0-0.jpg"
"Kali Uchis","318902566","3096060","https://www.last.fm/music/Kali+Uchis","https://cdn-images.dzcdn.net/images/artist/9d0d52af2e1e4ec56b67b495b87fc4c0/1000x1000-000000-80-0-0.jpg"
"Weezer","304191290","5491372","https://www.last.fm/music/Weezer","https://cdn-images.dzcdn.net/images/artist/077a2d407bf2d0d4f021143ee2996559/1000x1000-000000-80-0-0.jpg"
"Red Hot Chili Peppers","563570742","7286590","https://www.last.fm/music/Red+Hot+Chili+Peppers","https://cdn-images.dzcdn.net/images/artist/238f5524a401dfdd5cac685f0f7989bd/1000x1000-000000-80-0-0.jpg"
"My Chemical Romance","554254452","4866995","https://www.last.fm/music/My+Chemical+Romance","https://cdn-images.dzcdn.net/images/artist/e34296360cda10a29f85c7170a60178d/1000x1000-000000-80-0-0.jpg"
"Post Malone","335547373","3570300","https://www.last.fm/music/Post+Malone","https://cdn-images.dzcdn.net/images/artist/a5a8cca44e7eab2db7d44e039bed2574/1000x1000-000000-80-0-0.jpg"
"Queen","428565718","7257848","https://www.last.fm/music/Queen","https://cdn-images.dzcdn.net/images/artist/71eeb9e2eeb375df35a3c0654a5a01ab/1000x1000-000000-80-0-0.jpg"
"Joji","379463123","3042146","https://www.last.fm/music/Joji","https://cdn-images.dzcdn.net/images/artist/da30a1469009465fb3f130cc4dc6bb1c/1000x1000-000000-80-0-0.jpg"
"Laufey","269734305","2384268","https://www.last.fm/music/Laufey","https://cdn-images.dzcdn.net/images/artist/0eca5dd5f8ac336e55bf390da9ce13d0/1000x1000-000000-80-0-0.jpg"
"Daniel Caesar","253133992","2390094","https://www.last.fm/music/Daniel+Caesar","https://cdn-images.dzcdn.net/images/artist/973809864ad1c52d8c61238662400089/1000x1000-000000-80-0-0.jpg"
"Eminem","571654179","7821130","https://www.last.fm/music/Eminem","https://cdn-images.dzcdn.net/images/artist/0f30bbd33a680030054af004d698d6ac/1000x1000-000000-80-0-0.jpg"
"Green Day","449192780","6619943","https://www.last.fm/music/Green+Day","https://cdn-images.dzcdn.net/images/artist/690381cc69a21802b5d95b0460afb6a3/1000x1000-000000-80-0-0.jpg"
"Panic! at the Disco","325610376","4462186","https://www.last.fm/music/Panic%21+at+the+Disco","https://cdn-images.dzcdn.net/images/artist/c601aa8551d9e0bc345d2d75934db733/1000x1000-000000-80-0-0.jpg"
"Black Eyed Peas","155310859","5767734","https://www.last.fm/music/Black+Eyed+Peas","https://cdn-images.dzcdn.net/images/artist/d6c2e791dfcddde652b388032e312f15/1000x1000-000000-80-0-0.jpg"
"Tate McRae","286865092","2288503","https://www.last.fm/music/Tate+McRae","https://cdn-images.dzcdn.net/images/artist/b3578bcbd54124c8125c9a9d52f38716/1000x1000-000000-80-0-0.jpg"
"System of a Down","516479913","5843721","https://www.last.fm/music/System+of+a+Down","https://cdn-images.dzcdn.net/images/artist/67460cdb0b52bfde1b807650958058d6/1000x1000-000000-80-0-0.jpg"
"J. Cole","311971792","3879714","https://www.last.fm/music/J.+Cole","https://cdn-images.dzcdn.net/images/artist/dc8d97f19855c8ea3f15ee6db784198e/1000x1000-000000-80-0-0.jpg"
"Justin Timberlake","167679474","5587403","https://www.last.fm/music/Justin+Timberlake","https://cdn-images.dzcdn.net/images/artist/c2b04e4f1d4036e896b67ad306008d66/1000x1000-000000-80-0-0.jpg"
"The Killers","382125826","6978171","https://www.last.fm/music/The+Killers","https://cdn-images.dzcdn.net/images/artist/979d671d4b391bc07747bd1569e51997/1000x1000-000000-80-0-0.jpg"
"Sade","141464840","3444212","https://www.last.fm/music/Sade","https://cdn-images.dzcdn.net/images/artist/61ef9f8e27a31325d45f8623fe3000c6/1000x1000-000000-80-0-0.jpg"
"Addison Rae","118571403","1601814","https://www.last.fm/music/Addison+Rae","https://cdn-images.dzcdn.net/images/artist/a8bc8bbb055934154ffe5ab48e61d6d0/1000x1000-000000-80-0-0.jpg"
"Daft Punk","410451978","6342361","https://www.last.fm/music/Daft+Punk","https://cdn-images.dzcdn.net/images/artist/638e69b9caaf9f9f3f8826febea7b543/1000x1000-000000-80-0-0.jpg"
"Olivia Dean","80778033","1492679","https://www.last.fm/music/Olivia+Dean","https://cdn-images.dzcdn.net/images/artist/fed7c3b756cf6049da62988cb8e744be/1000x1000-000000-80-0-0.jpg"
"Cigarettes After Sex","317835786","2914870","https://www.last.fm/music/Cigarettes+After+Sex","https://cdn-images.dzcdn.net/images/artist/97847fc1724d45cc367ed96574d2262e/1000x1000-000000-80-0-0.jpg"
"Hozier","286293054","3367173","https://www.last.fm/music/Hozier","https://cdn-images.dzcdn.net/images/artist/4970da41372f40bb2d85b71d41c359e8/1000x1000-000000-80-0-0.jpg"
"Metro Boomin","247813917","2508898","https://www.last.fm/music/Metro+Boomin","https://cdn-images.dzcdn.net/images/artist/bc031b73f958987fa103031070be5c16/1000x1000-000000-80-0-0.jpg"
"KATSEYE","105246012","1604967","https://www.last.fm/music/KATSEYE","https://cdn-images.dzcdn.net/images/artist/33699b7dec8ee2f0366f227586a729b4/1000x1000-000000-80-0-0.jpg"
"LE SSERAFIM","310147021","1696647","https://www.last.fm/music/LE+SSERAFIM","https://cdn-images.dzcdn.net/images/artist/e789ab2d16cad9a738cd83722940512b/1000x1000-000000-80-0-0.jpg"
"Pierce the Veil","277361043","2122473","https://www.last.fm/music/Pierce+the+Veil","https://cdn-images.dzcdn.net/images/artist/8fce2d17e548bebe0f9c7455008f0ac0/1000x1000-000000-80-0-0.jpg"
"ABBA","194452591","4429542","https://www.last.fm/music/ABBA","https://cdn-images.dzcdn.net/images/artist/1cd9c41f13f3114367692383758be3c1/1000x1000-000000-80-0-0.jpg"
"The Smashing Pumpkins","262040557","4578573","https://www.last.fm/music/The+Smashing+Pumpkins","https://cdn-images.dzcdn.net/images/artist/86b9157b38f9a2254785152a6d67f190/1000x1000-000000-80-0-0.jpg"
"Kesha","120626729","3188101","https://www.last.fm/music/Kesha","https://cdn-images.dzcdn.net/images/artist/5bcb0869e99326aace7292e7e4c415df/1000x1000-000000-80-0-0.jpg"
"David Guetta","190659306","5266693","https://www.last.fm/music/David+Guetta","https://cdn-images.dzcdn.net/images/artist/2d527fa03e106ed82a28f161694278d3/1000x1000-000000-80-0-0.jpg"
"Pink Floyd","613083693","5578757","https://www.last.fm/music/Pink+Floyd","https://cdn-images.dzcdn.net/images/artist/d62a818a5de6455f17b6a992cf22b32f/1000x1000-000000-80-0-0.jpg"
"Dua Lipa","322064347","3303823","https://www.last.fm/music/Dua+Lipa","https://cdn-images.dzcdn.net/images/artist/7375742a46dbebb6efc0ae362e18eb24/1000x1000-000000-80-0-0.jpg"
"JAŸ-Z","6721653","860545","https://www.last.fm/music/JA%C5%B8-Z","https://cdn-images.dzcdn.net/images/artist/a59aabd18e84d732ce3b9f6f5c4e5f50/1000x1000-000000-80-0-0.jpg"
"Fall Out Boy","426634407","5098190","https://www.last.fm/music/Fall+Out+Boy","https://cdn-images.dzcdn.net/images/artist/f53434390dd76ef724cdc26df7a0b64d/1000x1000-000000-80-0-0.jpg"
"Noah Kahan","194003656","1619127","https://www.last.fm/music/Noah+Kahan","https://cdn-images.dzcdn.net/images/artist/e43ae0c4354a6afe58ae0b0cfad05f19/1000x1000-000000-80-0-0.jpg"
"The Cranberries","160103862","4766186","https://www.last.fm/music/The+Cranberries","https://cdn-images.dzcdn.net/images/artist/8e57c9fe64a7d1c3ed241e16f4c0f154/1000x1000-000000-80-0-0.jpg"
"Muse","573749027","6425034","https://www.last.fm/music/Muse","https://cdn-images.dzcdn.net/images/artist/cd7c5861be0009d3b75d4d3c069317a7/1000x1000-000000-80-0-0.jpg"
"Jeff Buckley","169177910","3415042","https://www.last.fm/music/Jeff+Buckley","https://cdn-images.dzcdn.net/images/artist/0f956165f1dc888e671a6f579d68bdbd/1000x1000-000000-80-0-0.jpg"
"David Bowie","407159447","5621755","https://www.last.fm/music/David+Bowie","https://cdn-images.dzcdn.net/images/artist/8301a6a09a24f4bb35950c59717defa0/1000x1000-000000-80-0-0.jpg"
"Pitbull","110998746","4449442","https://www.last.fm/music/Pitbull","https://cdn-images.dzcdn.net/images/artist/f755bcad19948129e670598a52d3f874/1000x1000-000000-80-0-0.jpg"
"TWICE","507918772","1941474","https://www.last.fm/music/TWICE","https://cdn-images.dzcdn.net/images/artist/1f4acadade675899b7f775ae4ac67faa/1000x1000-000000-80-0-0.jpg"
"Miley Cyrus","302643059","4872938","https://www.last.fm/music/Miley+Cyrus","https://cdn-images.dzcdn.net/images/artist/1125de234fd142a03ba849e9f90c0f7c/1000x1000-000000-80-0-0.jpg"
"Shakira","182058340","4912608","https://www.last.fm/music/Shakira","https://cdn-images.dzcdn.net/images/artist/69c569506a8ff6ab0edfecbd1adf94b0/1000x1000-000000-80-0-0.jpg"
"Gracie Abrams","292472882","1828846","https://www.last.fm/music/Gracie+Abrams","https://cdn-images.dzcdn.net/images/artist/8e20445d55cd9b577359d57cf914f01f/1000x1000-000000-80-0-0.jpg"
"Brent Faiyaz","239369866","2070418","https://www.last.fm/music/Brent+Faiyaz","https://cdn-images.dzcdn.net/images/artist/32aa8325aa1323a10f9e934ad7fd0bd1/1000x1000-000000-80-0-0.jpg"
"NewJeans","334946879","1837820","https://www.last.fm/music/NewJeans","https://cdn-images.dzcdn.net/images/artist/0866c2c1d7d00879f5db46ddc1250db8/1000x1000-000000-80-0-0.jpg"
"XXXTENTACION","345458084","2846148","https://www.last.fm/music/XXXTENTACION","https://cdn-images.dzcdn.net/images/artist/62e6edfaf5461eeb5b7310903229607a/1000x1000-000000-80-0-0.jpg"
"Baby Keem","205805195","2054913","https://www.last.fm/music/Baby+Keem","https://cdn-images.dzcdn.net/images/artist/56a2450351b4a111dc01ed495374da55/1000x1000-000000-80-0-0.jpg"
"RAYE","69798760","1940610","https://www.last.fm/music/RAYE","https://cdn-images.dzcdn.net/images/artist/9e900a735869624b69df52ae1b806c70/1000x1000-000000-80-0-0.jpg"
"One Direction","321008852","3296404","https://www.last.fm/music/One+Direction","https://cdn-images.dzcdn.net/images/artist/6760dba71ba14145eec5478d8b135c55/1000x1000-000000-80-0-0.jpg"
"PARTYNEXTDOOR","176474380","1995853","https://www.last.fm/music/PARTYNEXTDOOR","https://cdn-images.dzcdn.net/images/artist/c37e32022ac1dbec04461da3af1bf504/1000x1000-000000-80-0-0.jpg"
"Foo Fighters","365793296","6397434","https://www.last.fm/music/Foo+Fighters","https://cdn-images.dzcdn.net/images/artist/c2a443972cacf77896f91a66b30bfd9e/1000x1000-000000-80-0-0.jpg"
"Lil Wayne","170071430","3608958","https://www.last.fm/music/Lil+Wayne","https://cdn-images.dzcdn.net/images/artist/3ced6f5ba94b771cf704fec83c58c798/1000x1000-000000-80-0-0.jpg"
"Lil Peep","381255090","2225406","https://www.last.fm/music/Lil+Peep","https://cdn-images.dzcdn.net/images/artist/9c3749d65aa59626a0a876ca9381e10e/1000x1000-000000-80-0-0.jpg"
"Yeat","382850006","1664421","https://www.last.fm/music/Yeat","https://cdn-images.dzcdn.net/images/artist/87f49e3c06e20dcb431717d5ed502bf6/1000x1000-000000-80-0-0.jpg"
"Conan Gray","260838995","2447461","https://www.last.fm/music/Conan+Gray","https://cdn-images.dzcdn.net/images/artist/dbd4df70ee3bfa7a3a4806fa69edf543/1000x1000-000000-80-0-0.jpg"
"Metallica","538161744","5205644","https://www.last.fm/music/Metallica","https://cdn-images.dzcdn.net/images/artist/056578a9c2007f69ce198c81875eca41/1000x1000-000000-80-0-0.jpg"
"Oasis","331110511","5909045","https://www.last.fm/music/Oasis","https://cdn-images.dzcdn.net/images/artist/07a91a26e61c06353797329c7c6a4b15/1000x1000-000000-80-0-0.jpg"
"The 1975","305673189","2670202","https://www.last.fm/music/The+1975","https://cdn-images.dzcdn.net/images/artist/3408c43ed74f73c88281b37a62a51638/1000x1000-000000-80-0-0.jpg"
"Cocteau Twins","174921856","2331679","https://www.last.fm/music/Cocteau+Twins","https://cdn-images.dzcdn.net/images/artist/3bdd3587258a3bf73502ff6c65c295ec/1000x1000-000000-80-0-0.jpg"
"Marina","185333504","2308357","https://www.last.fm/music/Marina","https://cdn-images.dzcdn.net/images/artist/a2d0e12d5e8b9cf9f489db3b64c20533/1000x1000-000000-80-0-0.jpg"
"Beach House","247485932","3553514","https://www.last.fm/music/Beach+House","https://cdn-images.dzcdn.net/images/artist/bab7f5aedc71370b598262e065d3a0ef/1000x1000-000000-80-0-0.jpg"
"Djo","95586637","2366162","https://www.last.fm/music/Djo","https://cdn-images.dzcdn.net/images/artist/5e6a9578769a59e0a9857b80e626e7d8/1000x1000-000000-80-0-0.jpg"
"Slipknot","365944305","4234153","https://www.last.fm/music/Slipknot","https://cdn-images.dzcdn.net/images/artist/d1a3db36015dd98615f42a5441dcf2f5/1000x1000-000000-80-0-0.jpg"
"Demi Lovato","204007922","3442730","https://www.last.fm/music/Demi+Lovato","https://cdn-images.dzcdn.net/images/artist/ed77e3a8268b3ae1e0b73183da3896e7/1000x1000-000000-80-0-0.jpg"
"Nelly Furtado","119040829","4887584","https://www.last.fm/music/Nelly+Furtado","https://cdn-images.dzcdn.net/images/artist/47b4d4c66c9fd9d6c49f08e2d5699aaf/1000x1000-000000-80-0-0.jpg"
"Billy Joel","130853077","4080054","https://www.last.fm/music/Billy+Joel","https://cdn-images.dzcdn.net/images/artist/5e6b2f6440af7436b8152aff0d2b9c3e/1000x1000-000000-80-0-0.jpg"
"Megan Thee Stallion","187602764","2370289","https://www.last.fm/music/Megan+Thee+Stallion","https://cdn-images.dzcdn.net/images/artist/55a20b812fec74d0a72d870545fc2123/1000x1000-000000-80-0-0.jpg"
"ILLIT","95796675","1190187","https://www.last.fm/music/ILLIT","https://cdn-images.dzcdn.net/images/artist/fc9af226576dd0244593dff0c10bebf0/1000x1000-000000-80-0-0.jpg"
"Halsey","225206207","2867737","https://www.last.fm/music/Halsey","https://cdn-images.dzcdn.net/images/artist/dbfcb38ac398f2c09d18b16868426f41/1000x1000-000000-80-0-0.jpg"
"Phoebe Bridgers","293110420","2174192","https://www.last.fm/music/Phoebe+Bridgers","https://cdn-images.dzcdn.net/images/artist/ba22e54b6a9b9696be627955a49c720a/1000x1000-000000-80-0-0.jpg"
"Evanescence","220368699","4546926","https://www.last.fm/music/Evanescence","https://cdn-images.dzcdn.net/images/artist/0c993f8104879b99b1a952005a8c2426/1000x1000-000000-80-0-0.jpg"
"Juice WRLD","527136474","2522158","https://www.last.fm/music/Juice+WRLD","https://cdn-images.dzcdn.net/images/artist/2ecf2968fbbc8eb042b241b8e60e5d7e/1000x1000-000000-80-0-0.jpg"
